Country,Declared Use,Declared No-Use,Total Papers,Declared-Use Rate (%)
Austria,14,0,14,100.0
Oman,7,0,7,100.0
Norway,6,0,6,100.0
Netherlands,8,0,8,100.0
France,11,1,12,91.7
Germany,48,5,53,90.6
Finland,15,2,17,88.2
Belgium,4,1,5,80.0
Sweden,4,1,5,80.0
India,4,1,5,80.0
United States,11,3,14,78.6
Italy,25,8,33,75.8
United Kingdom,16,6,22,72.7
Ukraine,41,27,68,60.3
Spain,6,4,10,60.0
Greece,4,3,7,57.1
Poland,4,4,8,50.0
CROATIA,2,3,5,40.0
China,6,15,21,28.6
Switzerland,2,5,7,28.6
Algeria,1,4,5,20.0
Saudi Arabia,1,5,6,16.7
Czech Republic,0,7,7,0.0
