Institution,Total Papers,AI Papers,AI Rate (%)
Kryvyi Rih State Pedagogical University,14,14,100.0
Free University of Bozen-Bolzano,12,12,100.0
Tampere University,12,12,100.0
Lviv Polytechnic National University,10,4,40.0
Pavlo Tychyna Uman State Pedagogical University,10,10,100.0
West Ukrainian National University,10,6,60.0
LMU Munich,9,9,100.0
National Aerospace University “Kharkiv Aviation Institute”,9,0,0.0
Khmelnytskyi National University,8,8,100.0
Diwan of Royal Court,7,7,100.0
Khmelnitsky National University,7,0,0.0
Prigo University,7,0,0.0
"Royal Holloway, University of London",7,7,100.0
University of Lübeck,7,7,100.0
EPFL,6,2,33.3
Hochschule München University of Applied Sciences,6,6,100.0
Norwegian University of Science and Technology,6,6,100.0
TU Wien,6,6,100.0
Universidad Politécnica de Madrid,6,6,100.0
University of Twente,6,6,100.0
Bern University of Applied Sciences,5,1,20.0
CIRAD,5,5,100.0
FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,5,5,100.0
German Aerospace Center (DLR),5,5,100.0
Kharkiv National Medical University,5,0,0.0
Petro Mohyla Black Sea National University,5,0,0.0
Politecnico di Milano,5,5,100.0
Sapienza University of Rome,5,0,0.0
South Ukrainian National Pedagogical University named after K. D. Ushynsky,5,5,100.0
V. N. Karazin Kharkiv National University,5,0,0.0
